nohup: ignoring input
Using GPU (CUDA)
Step 0: loss = 236.0126, lr = 0.0000, speed = 10130 tok/s
Step 100: loss = 37.7121, lr = 0.0001, speed = 92078 tok/s
Step 200: loss = 22.3427, lr = 0.0001, speed = 95591 tok/s
Step 300: loss = 15.9895, lr = 0.0002, speed = 96805 tok/s
Step 400: loss = 11.3125, lr = 0.0002, speed = 97430 tok/s
Step 500: loss = 7.9257, lr = 0.0003, speed = 97796 tok/s
Step 600: loss = 6.2669, lr = 0.0003, speed = 98034 tok/s
Step 700: loss = 5.4358, lr = 0.0003, speed = 98204 tok/s
Step 800: loss = 4.8897, lr = 0.0003, speed = 98326 tok/s
Step 900: loss = 4.7819, lr = 0.0003, speed = 98421 tok/s
Step 1000: loss = 4.4926, lr = 0.0003, speed = 98492 tok/s
Step 1000: validation loss = 4.3976
Step 1100: loss = 4.2122, lr = 0.0003, speed = 92746 tok/s
Step 1200: loss = 4.1556, lr = 0.0003, speed = 93246 tok/s
Step 1300: loss = 3.9216, lr = 0.0003, speed = 93670 tok/s
Step 1400: loss = 4.1303, lr = 0.0003, speed = 94040 tok/s
Step 1500: loss = 3.8450, lr = 0.0003, speed = 94363 tok/s
Step 1600: loss = 3.7137, lr = 0.0003, speed = 94645 tok/s
Step 1700: loss = 3.6978, lr = 0.0003, speed = 94895 tok/s
Step 1800: loss = 3.7646, lr = 0.0003, speed = 95116 tok/s
Step 1900: loss = 3.5598, lr = 0.0003, speed = 95316 tok/s
Step 2000: loss = 3.6630, lr = 0.0003, speed = 95495 tok/s
Step 2000: validation loss = 3.3915
Step 2100: loss = 3.4904, lr = 0.0003, speed = 92386 tok/s
Step 2200: loss = 3.4306, lr = 0.0003, speed = 92659 tok/s
Step 2300: loss = 3.4003, lr = 0.0003, speed = 92914 tok/s
Step 2400: loss = 3.1700, lr = 0.0003, speed = 93149 tok/s
Step 2500: loss = 3.2556, lr = 0.0003, speed = 93365 tok/s
Step 2600: loss = 3.2410, lr = 0.0003, speed = 93566 tok/s
Step 2700: loss = 3.3304, lr = 0.0003, speed = 93752 tok/s
Step 2800: loss = 3.2434, lr = 0.0003, speed = 93925 tok/s
Step 2900: loss = 3.0679, lr = 0.0003, speed = 94088 tok/s
Step 3000: loss = 2.8724, lr = 0.0003, speed = 94238 tok/s
Step 3000: validation loss = 2.9544
Step 3100: loss = 3.0579, lr = 0.0003, speed = 92212 tok/s
Step 3200: loss = 2.8402, lr = 0.0003, speed = 92407 tok/s
Step 3300: loss = 3.2188, lr = 0.0003, speed = 92590 tok/s
Step 3400: loss = 3.0832, lr = 0.0003, speed = 92763 tok/s
Step 3500: loss = 2.8495, lr = 0.0003, speed = 92928 tok/s
Step 3600: loss = 2.8582, lr = 0.0003, speed = 93084 tok/s
Step 3700: loss = 2.8870, lr = 0.0003, speed = 93232 tok/s
Step 3800: loss = 2.8652, lr = 0.0003, speed = 93372 tok/s
Step 3900: loss = 2.6399, lr = 0.0003, speed = 93505 tok/s
Step 4000: loss = 2.6428, lr = 0.0003, speed = 93632 tok/s
Step 4000: validation loss = 2.6517
Step 4100: loss = 2.6976, lr = 0.0003, speed = 92123 tok/s
Step 4200: loss = 2.9311, lr = 0.0003, speed = 92274 tok/s
Step 4300: loss = 2.7632, lr = 0.0003, speed = 92416 tok/s
Step 4400: loss = 2.7193, lr = 0.0003, speed = 92554 tok/s
Step 4500: loss = 2.6885, lr = 0.0003, speed = 92685 tok/s
Step 4600: loss = 2.7026, lr = 0.0003, speed = 92812 tok/s
Step 4700: loss = 2.6167, lr = 0.0003, speed = 92933 tok/s
Step 4800: loss = 2.6262, lr = 0.0003, speed = 93050 tok/s
Step 4900: loss = 2.6546, lr = 0.0003, speed = 93162 tok/s
Step 5000: loss = 2.7462, lr = 0.0003, speed = 93270 tok/s
Step 5000: validation loss = 2.4671
Step 5100: loss = 2.6720, lr = 0.0003, speed = 92035 tok/s
Step 5200: loss = 2.5742, lr = 0.0003, speed = 92157 tok/s
Step 5300: loss = 2.5119, lr = 0.0003, speed = 92274 tok/s
Step 5400: loss = 2.4553, lr = 0.0003, speed = 92388 tok/s
Step 5500: loss = 2.4932, lr = 0.0003, speed = 92497 tok/s
Step 5600: loss = 2.4449, lr = 0.0003, speed = 92602 tok/s
Step 5700: loss = 2.5740, lr = 0.0003, speed = 92704 tok/s
Step 5800: loss = 2.4227, lr = 0.0003, speed = 92803 tok/s
Step 5900: loss = 2.4484, lr = 0.0003, speed = 92900 tok/s
Step 6000: loss = 2.6197, lr = 0.0003, speed = 92994 tok/s
Step 6000: validation loss = 2.3318
Step 6100: loss = 2.5076, lr = 0.0003, speed = 91983 tok/s
Step 6200: loss = 2.4085, lr = 0.0003, speed = 92086 tok/s
